Fund Holdings as of,"May 20, 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Par Value,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"SIE","SIEMENS N AG","Industrials","Equity","39,974,875.11","0.23","39,974,875.11","94,799.00","94,799.00","421.68","Germany","Xetra","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","EUR","-","Jan 2, 1985"
"CVX","CHEVRON CORP","Energy","Equity","39,876,049.26","0.22","39,876,049.26","2,382,184.00","2,382,184.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"000660","SK HYNIX INC","Information Technology","Equity","39,702,738.37","0.22","39,702,738.37","24,951.00","24,951.00","1,591.21","Korea (South)","Korea Exchange (Stock Market)","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","KRW","-","Dec 30, 1996"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","38,570,405.12","0.22","38,570,405.12","1,150,151.00","1,150,151.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"BAC","BANK OF AMERICA CORP","Financials","Equity","37,803,788.37","0.21","37,803,788.37","8,434,468.00","8,434,468.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","37,683,205.94","0.21","37,683,205.94","1,009,048.00","1,009,048.00","-","United States","NASDAQ","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","36,953,322.91","0.21","36,953,322.91","2,965,297.00","2,965,297.00","-","United States","New York Stock Exchange Inc.","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","USD","-","Nov 5, 1984"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","36,862,616.09","0.21","36,862,616.09","1,406,433.00","1,406,433.00","26.21","Japan","Tokyo Stock Exchange","CAD","0.00","-","-","-","0.00","0.00","-","-","0.00","-","JPY","-","Apr 2, 2001"
"PPL","PEMBINA PIPELINE CORP","Energy","Equity","36,171,501.59","0.20","36,171,501.59","533,897.00","533,897.00","67.75","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Oct 23, 1998"
"FTS","FORTIS INC","Utilities","Equity","35,779,564.25","0.20","35,779,564.25","466,001.00","466,001.00","76.78","Canada","Toronto Stock Exchange","CAD","0.00","-","1.00","-","0.00","0.00","-","-","0.00","-","CAD","-","Dec 18, 1989"
